report_id,report_type,report_start,report_end,report_revision,source_sha256,source_page,geography_type,geography_code,geography_label,offense_code,offense_label,period,statistic,observation_year,comparison_year,comparison_lag_years,value_numeric,value_reported,null_reason,extraction_version,validation_status
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,last_7_days,percent_change,2026,2025,1,0.0,0%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,last_28_days,count,2026,,,17,17,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,last_28_days,count,2025,,,25,25,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,last_28_days,percent_change,2026,2025,1,-32.0,-32%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,count,2026,,,132,132,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,count,2025,,,119,119,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,2026,2025,1,11.0,11%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,2026,2024,2,27.0,27%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,2026,2023,3,13.0,13%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,2026,2022,4,4.0,4%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,2026,2021,5,22.0,22%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,2026,2020,6,-14.0,-14%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_7_days,count,2026,,,11,11,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_7_days,count,2025,,,4,4,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_7_days,percent_change,2026,2025,1,175.0,175%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_28_days,count,2026,,,36,36,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_28_days,count,2025,,,40,40,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_28_days,percent_change,2026,2025,1,-10.0,-10%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,count,2026,,,261,261,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,count,2025,,,244,244,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2026,2025,1,7.0,7%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2026,2024,2,17.0,17%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2026,2023,3,2.0,2%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,2026,2022,4,25.0,25%,,wilmington-compstat-v1,validated
